Name,Alias,MolecularWeight,Function,RecommendedConcentration,Reconstitution,DilutedWith,CASNumber,SMILES
Glucose,"D-Glucose, Dextrose, Grape Sugar",180.16,Energy source,5-50 mM for cell culture,Dissolve in water,"Water, PBS",50-99-7,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O
Aspirin,"Acetylsalicylic Acid, ASA",180.16,Analgesic Anti-inflammatory,0.1-1 mM for assays,Dissolve in DMSO or ethanol,"Water, PBS",50-78-2,CC(=O)OC1=CC=CC=C1C(=O)O
Caffeine,"1,3,7-Trimethylxanthine, Methyltheobromine",194.19,Stimulant,0.05-0.5 mM for cell studies,Dissolve in water or DMSO,"Water, PBS",58-08-2,CN1C(=O)N(C)C(=O)C2=C1N=CN2C
Ibuprofen,2-(4-Isobutylphenyl)propanoic Acid,206.28,Analgesic Anti-inflammatory,0.1-1 mM for assays,Dissolve in ethanol or DMSO,"Water, PBS",15687-27-1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
LIF,"Leukemia Inhibitory Factor, hLIF",20000,Maintains pluripotency in mouse ESCs,10-100 ng/mL,Reconstitute in sterile water or PBS,Water or PBS,130-095-3,N/A
bFGF,"Basic Fibroblast Growth Factor, FGF2",17000,Maintains pluripotency in human ESCs and iPSCs,10-100 ng/mL,"Reconstitute in sterile water or PBS, stablized by adding 0.2% rHSA",Water or PBS,620-92-8,N/A
SB431542,SB,384.4,Maintains pluripotency in human iPSCs,10 uM,DMSO,DMSO,301836-41-9,CC1=CC(=CC=C1C2=NC3=CC=CC=C3N2CCN4CCOCC4)C(=O)NC5=CC=CC=C5
CHIR99021,CHIR,465.34,Maintains pluripotency and promotes differentiation,3 uM,DMSO,DMSO,252917-06-9,CC1=CC(=CC=C1C2=NC3=CC=CC=C3N2CCN4CCOCC4)C(=O)NC5=CC=CC=C5
PD0325901,PD03,482.5,Maintains pluripotency,1 uM,DMSO,DMSO,391210-10-9,CC1=CC(=CC=C1C2=NC3=CC=CC=C3N2CCN4CCOCC4)C(=O)NC5=CC=CC=C5
RA,Retinoic Acid,300.44,Induces differentiation into neural cells,1 uM,Ethanol,Ethanol,302-79-4,CC1=CC(=CC=C1C2=NC3=CC=CC=C3N2CCN4CCOCC4)C(=O)NC5=CC=CC=C5
BMP4,Bone Morphogenetic Protein 4,24000,Induces differentiation into mesodermal cells,50-100 ng/mL,"Reconstitute in sterile water or PBS, stablized by adding 0.2% rHSA",Water or PBS,146-94-1,N/A
Dorsomorphin,AMPK Inhibitor,399.49,Induces differentiation into cardiomyocytes,1 uM,DMSO,DMSO,866405-64-3,CC1=CC(=CC=C1C2=NC3=CC=CC=C3N2CCN4CCOCC4)C(=O)NC5=CC=CC=C5
Noggin,NOG,26000,Induces differentiation into neural cells,100 ng/mL,"Reconstitute in sterile water or PBS, stablized by adding 0.2% rHSA",Water or PBS,602991,N/A
Y-27632,"Y, ROCKi",338.27,Improves stem cell survival,10 uM,DMSO,DMSO,129830-38-2,CC1=CC(=CC=C1C2=NC3=CC=CC=C3N2CCN4CCOCC4)C(=O)NC5=CC=CC=C5
TGFb,TGFbeta,4760,Maintains pluripotency in human ESCs and iPSCs; induce endoderm differentiation,1.74 - 5 ng/mL,"Reconstitute in sterile water or PBS, stablized by adding 0.2% rHSA",Water or PBS,122304-04-5,N/A
